UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO_ELECCION;MESA_DE_VOTACION;DESCRIP_ESTADO_ACTA;TIPO_OBSERVACION;N_CVAS;N_ELEC_HABIL;VOTOS_P1;VOTOS_P2;VOTOS_P3;VOTOS_P4;VOTOS_P5;VOTOS_P6;VOTOS_P7;VOTOS_P8;VOTOS_P9;VOTOS_P10;VOTOS_P11;VOTOS_P12;VOTOS_P13;VOTOS_P14;VOTOS_P15;VOTOS_P16;VOTOS_P17;VOTOS_P18;VOTOS_P19;VOTOS_P20;VOTOS_VB;VOTOS_VN;VOTOS_VI
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;50;CONTABILIZADAS NORMALES;;228;249;1;10;7;61;4;2;0;0;38;0;0;0;14;1;0;1;43;0;0;0;39;7;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;51;CONTABILIZADAS NORMALES;;127;143;0;5;5;39;0;3;0;0;16;1;0;0;7;0;0;0;30;0;0;0;18;3;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;52;CONTABILIZADAS NORMALES;;222;249;0;11;8;55;0;2;0;0;39;1;2;0;16;0;0;0;61;0;0;0;19;8;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;53;CONTABILIZADAS NORMALES;;130;149;0;3;8;27;0;0;0;1;33;0;1;1;12;0;0;0;28;0;0;0;12;4;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;54;CONTABILIZADAS NORMALES;;234;249;0;12;10;63;0;1;0;0;53;1;0;0;14;0;0;0;60;0;0;0;16;4;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;55;CONTABILIZADAS NORMALES;;225;250;0;7;10;52;1;3;0;3;33;0;2;0;14;0;0;1;63;0;0;0;32;4;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;56;CONTABILIZADAS NORMALES;;118;130;1;5;2;31;0;0;0;0;19;0;0;0;3;0;0;0;31;0;0;0;20;6;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;57;CONTABILIZADAS NORMALES;;130;142;0;1;3;30;2;0;0;1;22;1;1;0;7;0;0;1;35;0;0;0;23;3;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;58;CONTABILIZADAS NORMALES;;131;143;1;8;9;39;0;0;0;1;23;0;0;1;4;0;0;0;26;1;0;0;15;3;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;59;CONTABILIZADAS NORMALES;;131;144;0;1;0;34;3;1;0;4;23;0;0;1;10;1;0;0;31;0;0;0;17;5;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;60;CONTABILIZADAS NORMALES;;121;133;0;3;5;30;2;0;0;1;25;0;1;0;16;1;1;0;24;0;0;0;11;1;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;61;CONTABILIZADAS NORMALES;;123;129;0;6;7;26;1;1;0;0;17;1;0;0;9;0;0;0;23;0;0;0;26;6;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;62;CONTABILIZADAS NORMALES;;123;136;0;6;3;35;2;0;0;0;12;0;1;0;5;1;0;0;39;0;0;0;14;5;0
250104;UCAYALI;CORONEL PORTILLO;CAMPOVERDE;PRESIDENCIAL;63;CONTABILIZADAS NORMALES;;123;134;0;7;6;34;0;2;0;3;7;2;0;0;2;0;0;0;30;0;0;0;25;5;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;64;CONTABILIZADAS NORMALES;;129;144;0;2;2;24;1;0;0;0;55;0;3;0;10;1;0;2;26;0;0;0;2;1;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;65;CONTABILIZADAS NORMALES;;115;130;0;6;6;39;2;0;0;0;23;0;0;1;6;1;0;1;18;0;0;0;10;2;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;66;CONTABILIZADAS NORMALES;;131;145;1;5;4;34;0;1;0;1;23;0;0;0;15;0;1;0;32;1;0;0;10;3;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;68;CONTABILIZADAS NORMALES;;118;132;0;5;2;45;1;0;1;0;23;0;0;0;3;1;0;0;19;0;0;0;16;2;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;69;CONTABILIZADAS NORMALES;;118;131;0;8;5;31;0;1;0;0;27;0;0;0;5;0;0;0;26;0;0;0;12;3;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;70;CONTABILIZADAS NORMALES;;227;249;0;9;9;65;3;1;0;0;39;0;0;0;11;0;0;0;42;0;1;0;43;4;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;71;CONTABILIZADAS NORMALES;;120;131;0;12;4;27;1;1;0;0;20;0;1;0;5;0;0;0;31;0;0;0;14;4;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;81;CONTABILIZADAS NORMALES;;208;230;0;11;8;68;1;1;0;1;37;0;0;0;15;0;0;0;44;0;1;0;20;1;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;82;CONTABILIZADAS NORMALES;;194;229;1;8;3;49;2;4;0;0;19;1;1;0;13;0;0;0;61;1;0;0;20;11;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;89;CONTABILIZADAS NORMALES;;204;230;0;9;9;46;1;2;0;1;29;0;0;1;14;0;0;1;51;0;1;1;31;7;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;90;CONTABILIZADAS ANULADAS;;200;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;94;CONTABILIZADAS NORMALES;;188;208;0;9;8;53;1;1;0;3;27;0;0;0;8;0;0;1;46;0;0;0;27;4;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;96;CONTABILIZADAS NORMALES;;175;207;0;4;8;47;1;1;0;1;29;0;0;2;4;0;1;0;42;0;1;0;26;8;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;97;CONTABILIZADAS NORMALES;;178;207;0;6;10;42;1;4;0;0;40;0;0;0;10;0;0;2;44;0;1;0;16;2;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;98;CONTABILIZADAS NORMALES;;181;208;0;8;8;60;2;1;1;0;15;1;0;0;6;0;0;0;44;1;0;0;34;0;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;99;CONTABILIZADAS NORMALES;;188;208;0;9;5;50;3;1;0;0;30;0;0;1;17;0;0;0;43;0;0;0;28;1;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;101;CONTABILIZADAS ANULADAS;;176;205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176;0
